staff_id,staff_gpn,staff_bu_code
32754,HK010473841,HK001
32755,HK010473843,HK001
32756,HK010542299,HK001
32758,HK010542309,HK040
32759,HK010542318,HK001
32768,CN010542424,CN401
32769,CN010542451,CN777
32814,HK010474221,HK001
32827,CN010539189,CN403
32849,CN010544579,CN411
32858,CN010539610,CN401
32899,CN010541059,CN405
32905,CN010541575,CN407
32912,CN010475776,CN409
32913,CN010541747,CN405
32915,HK010542272,HK001
32916,HK010542290,HK001
32917,HK010542293,HK001
32928,CN010476053,CN403
32941,CN010476515,CN401
32942,HK010542298,HK001
32945,CN010542386,CN401
32964,HK010542982,HK040
32969,CN010476524,CN401
32986,CN010547422,CN401
32993,CN010547648,CN403
33011,CN010554939,CN405
33013,CN010554942,CN430
33021,CN010554971,CN413
33023,CN010554977,CN403
33027,CN010554996,CN403
33029,CN010555016,CN403
33037,CN010555043,CN403
33041,CN010555055,CN403
33071,CN010554261,CN401
33074,CN010555953,CN407
33084,CN010556361,CN403
33085,CN010556363,CN403
33086,CN010556367,CN411
33115,CN010554678,CN403
33121,CN010554700,CN403
33140,CN010557421,CN401
33173,CN010554825,CN407
33176,CN010554832,CN407
33179,CN010558314,CN401
33185,CN010558429,CN401
33190,CN010558740,CN415
33193,CN010558746,CN409
33198,CN010554846,CN405
33220,CN010554910,CN405
33221,CN010554911,CN405
33228,CN010554916,CN405
33238,CN010554935,CN407
33249,CN010558890,CN401
33252,CN010554946,CN403
33255,CN010554950,CN403
33260,CN010558917,CN401
33262,CN010554958,CN403
33263,CN010554968,CN403
33265,CN010554981,CN403
33268,CN010558940,CN401
33270,CN010558942,CN401
33272,CN010558946,CN401
33319,CN010559054,CN401
33343,CN010559111,CN401
33353,CN010559130,CN401
33377,CN010559177,CN401
33380,CN010559192,CN401
33392,CN010559234,CN403
33401,CN010555022,CN403
33409,CN010559249,CN401
33418,CN010555050,CN409
33422,CN010555080,CN403
33427,HK010555112,HK001
33459,CN010561574,CN403
33463,CN010562057,CN405
33472,CN010563232,CN405
33485,HK010563839,HK040
33487,HK010555118,HK001
33490,HK010555128,HK001
33497,HK010555130,HK001
33512,CN010522086,CN403
33522,CN010469050,CN403
33526,CN010519259,CN401
33528,CN010519435,CN403
33549,CN010469088,CN403
33552,CN010469093,CN403
33573,CN010469146,CN403
33603,CN010522656,CN401
33622,CN010469925,CN403
33644,CN010470217,CN401
33651,CN010523671,CN417
33652,CN010523673,CN412
33658,CN010470231,CN401
33667,CN010470254,CN401
33721,CN010470433,CN422
33723,CN010470768,CN405
33737,CN010525519,CN411
33754,CN010470810,CN401
33763,CN010470838,CN415
33765,CN010470852,CN407
33791,CN010523674,CN401
33810,CN010471317,CN722
33826,CN010528269,CN403
33850,CN010472112,CN413
33857,CN010472173,CN416
33868,CN010524624,CN403
33872,CN010528647,CN403
33880,HK010472493,HK001
33891,HK010472564,HK001
33892,HK010472570,HK001
33911,HK010530175,HK001
33924,CN010526871,CN403
33971,CN010528254,CN414
34048,HK010564177,HK001
34065,CN010556364,CN403
34069,CN010556374,CN411
34076,CN010490136,CN405
34079,CN010556393,CN401
34082,CN010556428,CN403
34089,CN010565127,CN417
34112,HK010565395,HK001
34154,CN010565853,CN401
34183,CN010558317,CN403
34205,CN010567391,CN416
34210,CN010558738,CN417
34216,CN010492716,CN773
34218,CN010558742,CN409
34282,CN010558870,CN401
34287,CN010495043,CN403
34292,CN010558903,CN401
34313,CN010558955,CN401
34314,CN010558956,CN401
34319,CN010558974,CN401
34323,CN010558999,CN401
34346,CN010568739,CN401
34348,CN010559048,CN401
34402,CN010569626,CN427
34410,CN010569778,CN403
34411,CN010570019,CN401
34414,CN010559235,CN401
34416,CN010559268,CN401
34417,CN010559273,CN401
34432,CN010560201,CN414
34442,CN010497434,CN403
34494,CN010560268,CN422
34506,CN010561113,CN401
34550,CN010561568,CN403
34658,HK010564159,HK001
34659,HK010564160,HK001
34665,CN010564195,CN401
34695,CN010501890,CN401
34700,CN010565133,CN401
34702,CN010565138,CN410
34708,CN010502361,CN403
34791,CN010566453,CN409
34798,CN010566746,CN401
34809,CN010567036,CN403
34812,HK010567050,HK040
34849,CN010567717,CN403
34857,CN010568007,CN405
34868,HK010504400,HK001
34870,CN010504413,CN412
34879,CN010568371,CN401
34910,CN010569265,CN401
34950,CN010570029,CN401
35010,CN010571094,CN401
35011,CN010571352,CN401
35016,CN010571694,CN407
35025,CN010572321,CN405
35060,HK010572990,HK001
