name_query,code,main_service_line,sub_service_line,engage_nature
INT2022,22805953,2,1,0
INT2022,22805973,2,1,0
INT2022,22806018,2,1,0
INT2022,22806098,2,1,0
INT2022,22806103,2,1,0
INT2022,22806123,2,1,0
AUD2021,22686558,2,5,1
QTR2021,22686768,2,1,1
AUD2021,22720008,1,1,1
AUD2020,22720448,1,1,1
NTS2021,22973583,1,1,1
AUD2022,22882918,2,1,0
AUD2022,22882923,2,1,0
AUD2022,22882938,2,1,0
AUD2022,22882953,2,1,0
AUD2022,22882958,2,1,0
AUD2022,22882973,1,1,0
AUD2022,22882983,2,1,0
AUD2022,22882993,2,1,0
AUD2022,22883008,2,1,0
AUD2022,22883018,2,1,0
AUD2022,22883033,2,1,0
AUD2022,22883048,2,1,0
AUD2022,22883058,1,1,0
AUD2022,22883063,2,1,0
AUD2022,22883073,2,1,0
AUD2022,22883088,2,1,0
AUD2022,22883093,2,1,0
AUD2022,22883108,2,1,0
AUD2022,22883118,2,1,0
AUD2022,22883123,2,1,0
AUD2022,22883128,2,1,0
AUD2022,22883143,2,1,0
AUD2022,22883158,2,1,0
AUD2022,22883168,2,1,0
AUD2022,22883173,2,1,0
AUD2022,22883208,1,1,0
AUD2022,22885873,2,1,0
AUD2022,22885878,2,1,0
AUD2022,22885898,1,1,0
AUD2022,22885908,2,1,0
AUD2022,22885918,2,1,0
AUD2022,22885923,2,1,0
AUD2022,22885928,2,1,0
AUD2022,22885938,2,1,0
AUD2022,22885943,2,1,0
AUD2022,22885953,1,1,0
AUD2022,22885958,1,1,0
AUD2022,22885963,2,1,0
AUD2022,22885968,2,1,0
AUD2022,22885973,2,1,0
AUD2022,22885983,2,1,0
AUD2022,22885998,2,1,0
AUD2022,22886013,2,1,0
AUD2022,22886023,1,1,0
AUD2022,22886033,1,1,0
AUD2022,22886053,2,1,0
AUD2022,22886063,2,1,0
INT2022,22886103,2,1,0
AUD2022,22886108,2,1,0
AUD2022,22886113,2,1,0
AUD2022,22886123,2,1,0
AUD2022,22886143,2,1,0
