id,eng_type
88268,101
88270,101
88272,101
88275,101
88278,101
88283,101
88284,101
88285,101
88286,101
88288,101
88289,101
88292,101
88293,101
88301,101
88304,101
88316,101
88319,101
88320,101
88321,101
88322,101
88323,101
88324,101
88325,101
88326,101
88327,101
88328,101
88329,101
88330,101
88331,101
88332,101
88333,101
88334,101
88335,101
88345,101
88346,101
88352,101
88362,101
88363,101
88364,101
88365,101
88366,101
88369,101
88376,101
88394,101
88408,101
88413,101
88416,101
88436,101
88452,101
88453,101
88454,101
88455,101
88456,101
88457,101
88458,101
88459,101
88466,101
88467,101
88468,101
88470,101
88472,101
88474,101
88479,101
88481,101
88482,101
88483,101
88485,101
88488,101
88490,101
88491,101
88493,101
88495,101
88496,101
88497,101
88498,101
88503,101
88505,101
88506,101
88507,101
88508,101
88509,101
88511,101
88519,101
88522,101
88524,101
88532,101
88535,101
88536,101
88539,101
88540,101
88542,101
88544,101
88545,101
88546,101
88547,101
88556,101
88562,101
88563,101
88564,101
88570,101
88577,101
88581,101
88583,101
88594,101
88596,101
88599,101
88600,101
88601,101
88603,101
88610,101
88615,101
88619,101
88628,101
88642,101
88645,101
88646,101
88652,101
88658,101
88659,101
88664,101
88665,101
88666,101
88667,101
88668,101
88674,101
88675,101
88676,101
88678,101
88679,101
88681,101
88683,101
88684,101
88687,101
88688,101
88689,101
88690,101
88696,101
88698,101
88733,101
88742,101
88745,101
88747,101
88748,101
88749,101
88750,101
88752,101
88753,101
88755,101
88756,101
88762,101
88763,101
88764,101
88765,101
88766,101
88767,101
88769,101
88782,101
88787,101
88796,101
88803,101
88804,101
88806,101
88807,101
88808,101
88809,101
88812,101
88817,101
88826,101
88831,101
88834,101
88842,101
88848,201
88849,201
88850,201
88851,201
88852,201
88855,201
88856,201
88858,201
89008,201
89009,201
89011,201
89016,201
89027,101
89038,201
89039,201
89045,201
89054,101
89055,101
89057,101
89062,101
89068,101
89069,101
89070,101
89086,101
89175,201
89186,201
89187,201
89195,201
89200,201
89202,201
89203,201
89204,201
89210,201
89226,201
89227,201
89232,201
89233,201
89235,201
89237,201
89239,201
89240,201
89241,201
89244,201
89273,201
89280,201
89282,201
89286,201
89297,201
89298,101
89305,201
89306,201
89353,201
89360,101
89361,101
89362,101
89363,101
89373,101
89395,101
89400,101
89403,201
89404,201
89405,201
89407,201
89410,201
89412,201
89415,201
89416,201
89418,201
89421,201
89422,201
89423,201
89424,201
89428,101
89444,201
89445,201
89451,101
89452,101
89462,101
89555,201
89556,201
89557,201
89559,101
89566,101
89574,201
89575,101
89581,101
89612,101
89621,201
89622,201
89626,201
89629,101
89636,101
89639,101
89649,101
89654,101
89664,201
89670,101
89671,101
89675,101
89690,101
89695,201
89699,101
89700,101
89704,101
89705,101
89713,101
89720,101
89750,101
89752,101
89757,101
89759,101
89761,101
89782,101
89784,101
89797,201
89810,101
89814,201
89815,201
89818,201
89819,201
89820,201
89821,201
89830,201
89831,201
89834,201
89835,201
89836,201
89837,201
89838,201
89840,201
89842,201
89843,201
89863,201
89889,201
89896,101
89902,201
89903,201
89904,201
89910,101
89918,201
89923,101
89925,201
89944,101
89962,101
89963,101
89966,101
89972,101
89974,101
89985,201
89987,201
89988,101
89989,101
90010,101
90040,101
90044,101
90045,101
90051,201
90065,101
90074,101
90083,101
90085,101
90102,201
90104,101
90136,201
90169,101
90181,101
90197,201
90206,101
90212,101
90213,101
90214,101
90219,101
90221,101
90227,101
90230,101
90263,201
90266,101
90274,101
90279,101
90287,101
90288,101
90298,101
90302,101
90314,101
90322,101
